#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 rnd-openssl.bin|  6.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91711867|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.96956784|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.20525520|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.91209559|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.68857453|  PASSED  
        diehard_opso|   0|   2097152|     100|0.79501295|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.62257840|  PASSED  
         diehard_dna|   0|   2097152|     100|0.41091063|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.99465724|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.45193201|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.85781782|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.30697621|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.47991499|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.27229454|  PASSED  
        diehard_sums|   0|       100|     100|0.69745013|  PASSED  
        diehard_runs|   0|    100000|     100|0.03660474|  PASSED  
        diehard_runs|   0|    100000|     100|0.46391728|  PASSED  
       diehard_craps|   0|    200000|     100|0.65882566|  PASSED  
       diehard_craps|   0|    200000|     100|0.46091415|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.09996101|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.16146305|  PASSED  
         sts_monobit|   1|    100000|     100|0.02397916|  PASSED  
            sts_runs|   2|    100000|     100|0.44605308|  PASSED  
          sts_serial|   1|    100000|     100|0.67019138|  PASSED  
          sts_serial|   2|    100000|     100|0.64343723|  PASSED  
          sts_serial|   3|    100000|     100|0.42203627|  PASSED  
          sts_serial|   3|    100000|     100|0.60578966|  PASSED  
          sts_serial|   4|    100000|     100|0.70483144|  PASSED  
          sts_serial|   4|    100000|     100|0.38350857|  PASSED  
          sts_serial|   5|    100000|     100|0.93040869|  PASSED  
          sts_serial|   5|    100000|     100|0.80626210|  PASSED  
          sts_serial|   6|    100000|     100|0.82101489|  PASSED  
          sts_serial|   6|    100000|     100|0.36787342|  PASSED  
          sts_serial|   7|    100000|     100|0.93732478|  PASSED  
          sts_serial|   7|    100000|     100|0.04008072|  PASSED  
          sts_serial|   8|    100000|     100|0.97878674|  PASSED  
          sts_serial|   8|    100000|     100|0.43976243|  PASSED  
          sts_serial|   9|    100000|     100|0.32820300|  PASSED  
          sts_serial|   9|    100000|     100|0.17754561|  PASSED  
          sts_serial|  10|    100000|     100|0.15344202|  PASSED  
          sts_serial|  10|    100000|     100|0.34332206|  PASSED  
          sts_serial|  11|    100000|     100|0.31832750|  PASSED  
          sts_serial|  11|    100000|     100|0.95060404|  PASSED  
          sts_serial|  12|    100000|     100|0.97718993|  PASSED  
          sts_serial|  12|    100000|     100|0.63412462|  PASSED  
          sts_serial|  13|    100000|     100|0.15690625|  PASSED  
          sts_serial|  13|    100000|     100|0.01603064|  PASSED  
